"","UST.10Y","SP500"
"1962-01-08",NA,NA
"1962-01-15",0.0700000000000003,0.00505088020898917
"1962-01-22",-0.0100000000000007,-0.00954592149040104
"1962-01-29",0.0300000000000002,-0.013313048649738
"1962-02-05",-0.0499999999999998,0.0287434507012053
"1962-02-09",-0.0200000000000005,0.00854949636206828
"1962-02-19",0.0500000000000007,-0.000993683096882311
"1962-02-26",-0.100000000000001,-0.00927451893031752
"1962-03-05",0,0.00357730938838205
"1962-03-12",-0.0599999999999996,0.00555517417489042
"1962-03-19",-0.0100000000000002,0.00637170297269247
"1962-03-26",-0.04,-0.0136423886476517
"1962-04-02",-0.0299999999999998,-0.00746808009182765
"1962-04-09",-0.0300000000000002,-0.015398328653452
"1962-04-16",0,-0.0104481856948397
"1962-04-23",0.0300000000000002,0.013663622548814
"1962-04-30",0,-0.0491988278449193
"1962-05-07",0,0.0118849486722339
"1962-05-14",-0.0100000000000002,-0.0452369568778793
"1962-05-21",0.0900000000000003,0.0077354557321489
"1962-05-28",-0.0700000000000003,-0.136073204526928
"1962-06-04",0.0100000000000002,0.0313939056533772
"1962-06-11",-0.0100000000000002,0.00955781018243408
"1962-06-18",0.04,-0.0366367145343978
"1962-06-25",0.04,-0.060837687211496
"1962-07-02",0.0499999999999998,0.0629882256747244
"1962-07-09",0.0499999999999998,0.0122766420450988
"1962-07-16",-0.04,0.0223824696079974
"1962-07-23",-0.00999999999999979,-0.0179713464430212
"1962-07-30",0.0300000000000002,0.0179713464430212
"1962-08-06",-0.0200000000000005,-0.00138432276822391
"1962-08-13",-0.0199999999999996,-0.00208008395332788
"1962-08-20",-0.0499999999999998,0.029745782834009
"1962-08-27",0.00999999999999979,0.00302724751872501
"1962-08-31",0.00999999999999979,-0.00724701916136281
"1962-09-10",0.04,-0.0113975887218688
"1962-09-17",-0.00999999999999979,0.0107207697451015
"1962-09-24",-0.02,-0.0423535775374654
"1962-10-01",-0.04,-0.0203360557879037
"1962-10-08",0,0.0280757602108067
"1962-10-15",0.0100000000000002,0.00349834185714927
"1962-10-22",-0.0300000000000002,-0.0411712784916721
"1962-10-29",0.0100000000000002,0.0137335009975111
"1962-11-05",-0.0100000000000002,0.04612020982096
"1962-11-09",-0.02,0.00734230225820625
"1962-11-19",0.04,0.0175383922110306
"1962-11-26",0,0.0254181038571988
"1962-12-03",0,0.00940801748605586
"1962-12-10",-0.0299999999999998,0.00531359433930387
"1962-12-17",-0.0500000000000003,0.00160462165367048
"1962-12-24",-0.0600000000000001,0.00416000599929041
"1962-12-31",0.0600000000000001,0.00747637300984606
"1963-01-07",-0.02,0.0160355581941848
"1963-01-14",-0.0199999999999996,0.016703141191255
"1963-01-21",0.0399999999999996,0.00122624172324429
"1963-01-28",0.0100000000000002,0.0145987994211526
"1963-02-04",0.0299999999999998,-0.00105732205303601
"1963-02-11",0.0300000000000002,-0.00621543727604356
"1963-02-18",-0.0100000000000002,0.0114909035768023
